name,stardot_ts,receiver_ts
1570091164.jpg,2019-10-03 03:26:04,2020-09-10 18:48:50
1570139942.jpg,2019-10-03 16:59:02,2020-09-11 08:21:46
1570148163.jpg,2019-10-03 19:16:03,2020-09-11 10:38:48
1570132624.jpg,2019-10-03 14:57:04,2020-09-11 06:19:51
1570125364.jpg,2019-10-03 12:56:04,2020-09-11 04:18:54
1570150923.jpg,2019-10-03 20:02:03,2020-09-11 11:24:48
1570096804.jpg,2019-10-03 05:00:04,2020-09-10 20:22:53
1570138321.jpg,2019-10-03 16:32:01,2020-09-11 07:54:46
1570109705.jpg,2019-10-03 08:35:05,2020-09-10 23:57:53
1570089663.jpg,2019-10-03 03:01:03,2020-09-10 18:23:49
1570106344.jpg,2019-10-03 07:39:04,2020-09-10 23:01:52
1570120383.jpg,2019-10-03 11:33:03,2020-09-11 02:55:52
1570139822.jpg,2019-10-03 16:57:02,2020-09-11 08:19:47
1570122543.jpg,2019-10-03 12:09:03,2020-09-11 03:31:52
1570132744.jpg,2019-10-03 14:59:04,2020-09-11 06:21:49
1570088582.jpg,2019-10-03 02:43:02,2020-09-10 18:05:49
1570084623.jpg,2019-10-03 01:37:03,2020-09-10 16:59:49
1570081983.jpg,2019-10-03 00:53:03,2020-09-10 16:15:49
1570119066.jpg,2019-10-03 11:11:06,2020-09-11 02:33:54
1570077783.jpg,2019-10-02 23:43:03,2020-09-10 15:05:49
1570108625.jpg,2019-10-03 08:17:05,2020-09-10 23:39:54
1570127163.jpg,2019-10-03 13:26:03,2020-09-11 04:48:51
1570128244.jpg,2019-10-03 13:44:04,2020-09-11 05:06:53
1570077963.jpg,2019-10-02 23:46:03,2020-09-10 15:08:50
1570095064.jpg,2019-10-03 04:31:04,2020-09-10 19:53:54
1570102867.jpg,2019-10-03 06:41:07,2020-09-10 22:03:55
1570127403.jpg,2019-10-03 13:30:03,2020-09-11 04:52:52
1570114744.jpg,2019-10-03 09:59:04,2020-09-11 01:21:52
1570104543.jpg,2019-10-03 07:09:03,2020-09-10 22:31:52
1570090322.jpg,2019-10-03 03:12:02,2020-09-10 18:34:48
1570088223.jpg,2019-10-03 02:37:03,2020-09-10 17:59:48
1570145523.jpg,2019-10-03 18:32:03,2020-09-11 09:54:47
1570121884.jpg,2019-10-03 11:58:04,2020-09-11 03:20:52
1570114803.jpg,2019-10-03 10:00:03,2020-09-11 01:22:53
1570123922.jpg,2019-10-03 12:32:02,2020-09-11 03:54:51
1570114624.jpg,2019-10-03 09:57:04,2020-09-11 01:19:52
1570111984.jpg,2019-10-03 09:13:04,2020-09-11 00:35:52
1570090083.jpg,2019-10-03 03:08:03,2020-09-10 18:30:49
1570104184.jpg,2019-10-03 07:03:04,2020-09-10 22:25:52
1570094583.jpg,2019-10-03 04:23:03,2020-09-10 19:45:52
1570114383.jpg,2019-10-03 09:53:03,2020-09-11 01:15:53
1570141382.jpg,2019-10-03 17:23:02,2020-09-11 08:45:46
1570131665.jpg,2019-10-03 14:41:05,2020-09-11 06:03:52
1570099925.jpg,2019-10-03 05:52:05,2020-09-10 21:14:54
1570078503.jpg,2019-10-02 23:55:03,2020-09-10 15:17:49
1570078265.jpg,2019-10-02 23:51:05,2020-09-10 15:13:51
1570130584.jpg,2019-10-03 14:23:04,2020-09-11 05:45:49
1570119664.jpg,2019-10-03 11:21:04,2020-09-11 02:43:53
1570148403.jpg,2019-10-03 19:20:03,2020-09-11 10:42:48
1570105265.jpg,2019-10-03 07:21:05,2020-09-10 22:43:55
1570138682.jpg,2019-10-03 16:38:02,2020-09-11 08:00:46
1570085465.jpg,2019-10-03 01:51:05,2020-09-10 17:13:51
1570128484.jpg,2019-10-03 13:48:04,2020-09-11 05:10:53
1570105502.jpg,2019-10-03 07:25:02,2020-09-10 22:47:51
1570150503.jpg,2019-10-03 19:55:03,2020-09-11 11:17:47
1570118584.jpg,2019-10-03 11:03:04,2020-09-11 02:25:53
1570126324.jpg,2019-10-03 13:12:04,2020-09-11 04:34:53
1570107665.jpg,2019-10-03 08:01:05,2020-09-10 23:23:53
1570088342.jpg,2019-10-03 02:39:02,2020-09-10 18:01:49
1570109884.jpg,2019-10-03 08:38:04,2020-09-11 00:00:54
1570141624.jpg,2019-10-03 17:27:04,2020-09-11 08:49:49
1570141142.jpg,2019-10-03 17:19:02,2020-09-11 08:41:46
1570085882.jpg,2019-10-03 01:58:02,2020-09-10 17:20:48
1570080722.jpg,2019-10-03 00:32:02,2020-09-10 15:54:49
1570099267.jpg,2019-10-03 05:41:07,2020-09-10 21:03:54
1570128123.jpg,2019-10-03 13:42:03,2020-09-11 05:04:52
1570137003.jpg,2019-10-03 16:10:03,2020-09-11 07:32:47
1570143782.jpg,2019-10-03 18:03:02,2020-09-11 09:25:47
1570138442.jpg,2019-10-03 16:34:02,2020-09-11 07:56:46
1570102084.jpg,2019-10-03 06:28:04,2020-09-10 21:50:53
1570092483.jpg,2019-10-03 03:48:03,2020-09-10 19:10:52
1570106584.jpg,2019-10-03 07:43:04,2020-09-10 23:05:52
1570112283.jpg,2019-10-03 09:18:03,2020-09-11 00:40:51
1570117264.jpg,2019-10-03 10:41:04,2020-09-11 02:03:52
1570141022.jpg,2019-10-03 17:17:02,2020-09-11 08:39:46
1570083363.jpg,2019-10-03 01:16:03,2020-09-10 16:38:49
1570146003.jpg,2019-10-03 18:40:03,2020-09-11 10:02:48
1570114023.jpg,2019-10-03 09:47:03,2020-09-11 01:09:53
1570136282.jpg,2019-10-03 15:58:02,2020-09-11 07:20:46
1570135984.jpg,2019-10-03 15:53:04,2020-09-11 07:15:47
1570098964.jpg,2019-10-03 05:36:04,2020-09-10 20:58:52
1570102682.jpg,2019-10-03 06:38:02,2020-09-10 22:00:50
1570101604.jpg,2019-10-03 06:20:04,2020-09-10 21:42:52
1570143423.jpg,2019-10-03 17:57:03,2020-09-11 09:19:48
1570140664.jpg,2019-10-03 17:11:04,2020-09-11 08:33:48
1570112644.jpg,2019-10-03 09:24:04,2020-09-11 00:46:54
1570089302.jpg,2019-10-03 02:55:02,2020-09-10 18:17:48
1570140843.jpg,2019-10-03 17:14:03,2020-09-11 08:36:47
1570135562.jpg,2019-10-03 15:46:02,2020-09-11 07:08:48
1570086964.jpg,2019-10-03 02:16:04,2020-09-10 17:38:50
1570092905.jpg,2019-10-03 03:55:05,2020-09-10 19:17:52
1570125003.jpg,2019-10-03 12:50:03,2020-09-11 04:12:52
1570104783.jpg,2019-10-03 07:13:03,2020-09-10 22:35:53
1570136043.jpg,2019-10-03 15:54:03,2020-09-11 07:16:47
1570082282.jpg,2019-10-03 00:58:02,2020-09-10 16:20:49
1570103944.jpg,2019-10-03 06:59:04,2020-09-10 22:21:53
1570120623.jpg,2019-10-03 11:37:03,2020-09-11 02:59:52
1570104965.jpg,2019-10-03 07:16:05,2020-09-10 22:38:54
1570084803.jpg,2019-10-03 01:40:03,2020-09-10 17:02:49
1570110904.jpg,2019-10-03 08:55:04,2020-09-11 00:17:54
1570137363.jpg,2019-10-03 16:16:03,2020-09-11 07:38:47
1570115883.jpg,2019-10-03 10:18:03,2020-09-11 01:40:51
1570108144.jpg,2019-10-03 08:09:04,2020-09-10 23:31:52
